Date;Code;Close;Open;Low;High;Bid;Ask;WeightedAverage;Amount;Volume;NumberOfTrades
04.08.2020;ФСК ЕЭС-23;;;;;90;;;0;0;0
04.08.2020;ФСК ЕЭС-28;;;;;90,02;;;0;0;0
04.08.2020;РЖД БО-09;;;;;90,01;;;0;0;0
04.08.2020;ДержаваБ01;;;;;87,62;100;;0;0;0
04.08.2020;Роснефть06;103,7;103,75;103,7;103,75;103,25;103,75;103,71;5;5185,5;2
04.08.2020;Роснефть09;;;;;90,05;;;0;0;0
04.08.2020;Роснефть10;;;;;92,75;106,2;;0;0;0
04.08.2020;НацСтдБО-2;;;;;99,8;100;;0;0;0
04.08.2020;Русолово;4,964;5,258;4,834;5,282;4,962;5,094;4,988;1261000;6288548;523
04.08.2020;НижгорОбл9;100,25;100,24;100,24;100,25;100,24;100,25;100,25;5556;835483,5;12
04.08.2020;Uranium 02;100;100,25;99;101,11;99,06;101,11;99,82;23;22958,8;7
04.08.2020;ФСК ЕЭС-26;;;;;90,02;;;0;0;0
04.08.2020;ФСК ЕЭС-27;;;;;90,05;;;0;0;0
04.08.2020;РЖД БО-12;;;;;90,01;;;0;0;0
04.08.2020;ОФЗ 26215;106,854;107,198;106,549;107,198;106,853;106,854;106,754;80548;85984341,55;395
04.08.2020;АИЖК-13 А2;;;;;90,05;;;0;0;0
04.08.2020;Башкорт8об;101;101;101;101;100,55;101;101;1;303;1
04.08.2020;РЕСОЛизБ01;;;;;101,9;;;0;0;0
04.08.2020;ЕАБР06;101,02;99,16;99,16;101,02;99,25;100,99;100,28;11;11030,3;5
04.08.2020;ЕАБР07;100,8;100,8;100,8;100,8;100;100,8;100,8;1;1008;1
04.08.2020;iQIWI;1434,5;1438;1415;1442,5;1434;1437;1425,5;21343;30420811;2114
04.08.2020;ВТБ БО-43;99,97;99,99;99,97;99,99;99,52;99,8;99,98;3;2999,3;2
04.08.2020;РЖД БО-13;;;;;90,01;;;0;0;0
04.08.2020;FXGD ETF;1001,6;986;980,2;1004;1001,4;1001,6;996,6;136477;135705332;6171
04.08.2020;СилМашины2;103,03;103,03;103,03;103,03;101,02;102;103,03;1;1030,3;1
04.08.2020;ЕАБР08;;;;;100,41;100,6;;0;0;0
04.08.2020;ГПБ БО-07;;;;;98,53;104,96;;0;0;0
04.08.2020;Хакас2013;100,92;100,57;100,57;100,96;100,92;100,94;100,9;436;87981,22;26
04.08.2020;РДБанк ао;245;240;235;245;235;245;240;990;239650;20
